

*******************************************************************************
Ephemeris / WWW_USER Fri Nov 19 13:38:43 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Janus (610)                     {source: sat415_merged_DE437}
Center body name: Saturn (699)                    {source: sat415_merged_DE437}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2010-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2010-Jan-02 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {W-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {W-lon(deg),Dxy(km),Dz(km)}
Center radii    : 60268.0 x 60268.0 x 54364.0 km  {Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2455197.517361111, A.D. 2010-Jan-01 00:25:00.0000,  3.625451008462687E+04, -1.311670047723400E+05,  6.472500969819936E+04,  1.542424103553079E+01,  2.734776981962856E+00, -2.927062103478297E+00,
2455197.518055555, A.D. 2010-Jan-01 00:26:00.0000,  3.717923218234111E+04, -1.310002918887681E+05,  6.454809073768384E+04,  1.539972634579773E+01,  2.822299302268739E+00, -2.970216260374073E+00,
2455197.518750000, A.D. 2010-Jan-01 00:27:00.0000,  3.810246495214989E+04, -1.308283312716022E+05,  6.436858620266611E+04,  1.537459695827476E+01,  2.909700846064693E+00, -3.013247631879523E+00,
2455197.519444444, A.D. 2010-Jan-01 00:28:00.0000,  3.902417154596567E+04, -1.306511302733954E+05,  6.418650351211301E+04,  1.534885400317311E+01,  2.996978082323661E+00, -3.056154490843080E+00,
2455197.520138889, A.D. 2010-Jan-01 00:29:00.0000,  3.994431518427187E+04, -1.304686964583702E+05,  6.400185018844641E+04,  1.532249863597232E+01,  3.084127486461250E+00, -3.098935115929495E+00,
2455197.520833333, A.D. 2010-Jan-01 00:30:00.0000,  4.086285915763720E+04, -1.302810376020268E+05,  6.381463385719193E+04,  1.529553203735168E+01,  3.171145540487307E+00, -3.141587791692019E+00,
2455197.521527778, A.D. 2010-Jan-01 00:31:00.0000,  4.177976682822519E+04, -1.300881616907434E+05,  6.362486224662358E+04,  1.526795541312061E+01,  3.258028733156946E+00, -3.184110808644196E+00,
2455197.522222222, A.D. 2010-Jan-01 00:32:00.0000,  4.269500163130015E+04, -1.298900769213668E+05,  6.343254318740400E+04,  1.523976999414786E+01,  3.344773560121057E+00, -3.226502463331276E+00,
2455197.522916667, A.D. 2010-Jan-01 00:33:00.0000,  4.360852707672860E+04, -1.296867917007939E+05,  6.323768461222031E+04,  1.521097703628960E+01,  3.431376524076279E+00, -3.268761058401227E+00,
2455197.523611111, A.D. 2010-Jan-01 00:34:00.0000,  4.452030675047607E+04, -1.294783146455449E+05,  6.304029455541594E+04,  1.518157782031632E+01,  3.517834134914406E+00, -3.310884902675359E+00,
2455197.524305556, A.D. 2010-Jan-01 00:35:00.0000,  4.543030431609998E+04, -1.292646545813268E+05,  6.284038115261808E+04,  1.515157365183869E+01,  3.604142909871277E+00, -3.352872311218555E+00,
2455197.525000000, A.D. 2010-Jan-01 00:36:00.0000,  4.633848351623766E+04, -1.290458205425885E+05,  6.263795264036102E+04,  1.512096586123224E+01,  3.690299373675063E+00, -3.394721605409083E+00,
2455197.525694444, A.D. 2010-Jan-01 00:37:00.0000,  4.724480817409012E+04, -1.288218217720666E+05,  6.243301735570512E+04,  1.508975580356093E+01,  3.776300058694024E+00, -3.436431113008027E+00,
2455197.526388889, A.D. 2010-Jan-01 00:38:00.0000,  4.814924219490081E+04, -1.285926677203231E+05,  6.222558373585198E+04,  1.505794485849964E+01,  3.862141505083653E+00, -3.477999168228291E+00,
