

*******************************************************************************
Ephemeris / WWW_USER Fri Nov 19 13:39:11 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Epimetheus (611)                {source: sat415_merged_DE437}
Center body name: Saturn (699)                    {source: sat415_merged_DE437}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2010-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2010-Jan-02 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {W-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {W-lon(deg),Dxy(km),Dz(km)}
Center radii    : 60268.0 x 60268.0 x 54364.0 km  {Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2455197.517361111, A.D. 2010-Jan-01 00:25:00.0000,  4.981714486145235E+04, -1.282549525384632E+05,  6.150561810964022E+04,  1.492618751329409E+01,  4.179861689951123E+00, -3.697536880675735E+00,
2455197.518055555, A.D. 2010-Jan-01 00:26:00.0000,  5.071171257072529E+04, -1.280015941854576E+05,  6.128253585405819E+04,  1.489263572347091E+01,  4.265390811115873E+00, -3.738514563802632E+00,
2455197.518750000, A.D. 2010-Jan-01 00:27:00.0000,  5.160424911140521E+04, -1.277431087882800E+05,  6.105699922807068E+04,  1.485848209133173E+01,  4.350762574888928E+00, -3.779348942756046E+00,
2455197.519444444, A.D. 2010-Jan-01 00:28:00.0000,  5.249471840881767E+04, -1.274795058940731E+05,  6.082901688113691E+04,  1.482372781668592E+01,  4.435973458708895E+00, -3.820038311404468E+00,
2455197.520138889, A.D. 2010-Jan-01 00:29:00.0000,  5.338308446105557E+04, -1.272107952611972E+05,  6.059859756493374E+04,  1.478837412530599E+01,  4.521019944575824E+00, -3.860580968643126E+00,
2455197.520833333, A.D. 2010-Jan-01 00:30:00.0000,  5.426931134053667E+04, -1.269369868589518E+05,  6.036575013305132E+04,  1.475242226890395E+01,  4.605898519214038E+00, -3.900975218476108E+00,
2455197.521527778, A.D. 2010-Jan-01 00:31:00.0000,  5.515336319555888E+04, -1.266580908672872E+05,  6.013048354068433E+04,  1.471587352510628E+01,  4.690605674235092E+00, -3.941219370098398E+00,
2455197.522222222, A.D. 2010-Jan-01 00:32:00.0000,  5.603520425185451E+04, -1.263741176765062E+05,  5.989280684431794E+04,  1.467872919742757E+01,  4.775137906300883E+00, -3.981311737977859E+00,
2455197.522916667, A.D. 2010-Jan-01 00:33:00.0000,  5.691479881414284E+04, -1.260850778869563E+05,  5.965272920140901E+04,  1.464099061524274E+01,  4.859491717286863E+00, -4.021250641937127E+00,
2455197.523611111, A.D. 2010-Jan-01 00:34:00.0000,  5.779211126768046E+04, -1.257909823087120E+05,  5.941025987006239E+04,  1.460265913375791E+01,  4.943663614445377E+00, -4.061034407235425E+00,
2455197.524305556, A.D. 2010-Jan-01 00:35:00.0000,  5.866710607981076E+04, -1.254918419612473E+05,  5.916540820870217E+04,  1.456373613397986E+01,  5.027650110569103E+00, -4.100661364650295E+00,
2455197.525000000, A.D. 2010-Jan-01 00:36:00.0000,  5.953974780151054E+04, -1.251876680730984E+05,  5.891818367573826E+04,  1.452422302268415E+01,  5.111447724154573E+00, -4.140129850559219E+00,
2455197.525694444, A.D. 2010-Jan-01 00:37:00.0000,  6.041000106893558E+04, -1.248784720815163E+05,  5.866859582922784E+04,  1.448412123238178E+01,  5.195052979565792E+00, -4.179438207021160E+00,
2455197.526388889, A.D. 2010-Jan-01 00:38:00.0000,  6.127783060496335E+04, -1.245642656321102E+05,  5.841665432653212E+04,  1.444343222128452E+01,  5.278462407197880E+00, -4.218584781857969E+00,
2455197.527083333, A.D. 2010-Jan-01 00:39:00.0000,  6.214320122073428E+04, -1.242450605784806E+05,  5.816236892396802E+04,  1.440215747326883E+01,  5.361672543640825E+00, -4.257567928735701E+00,
2455197.527777778, A.D. 2010-Jan-01 00:40:00.0000,  6.300607781719026E+04, -1.239208689818425E+05,  5.790574947645520E+04,  1.436029849783834E+01,  5.444679931843224E+00, -4.296386007245784E+00,
2455197.528472222, A.D. 2010-Jan-01 00:41:00.0000,  6.386642538661138E+04, -1.235917031106392E+05,  5.764680593715797E+04,  1.431785683008493E+01,  5.527481121276105E+00, -4.335037382986092E+00,
2455197.529166667, A.D. 2010-Jan-01 00:42:00.0000,  6.472420901414978E+04, -1.232575754401462E+05,  5.738554835712266E+04,  1.427483403064852E+01,  5.610072668096717E+00, -4.373520427641852E+00,
